SOIL_ID,PROVINCE,SOIL_CODE,MODIFIER,PROFILE,SOILNAME,KIND,WATERTBL,ROOTRESTRI,RESTR_TYPE,DRAINAGE,PMTEX1,PMTEX2,PMTEX3,PMCHEM1,PMCHEM2,PMCHEM3,MDEP1,MDEP2,MDEP3,ORDER2,G_GROUP2,S_GROUP2,ORDER3,G_GROUP3,S_GROUP3
SKADA43~~~A,SK,ADA,43~~~,A,ARDILL O.BC,M,NO,0,-,W,MF,-,-,VC,-,-,TILL,-,-,CH,B,O,CH,BC,O
SKADA49~~~A,SK,ADA,49~~~,A,ARDILL O.BC,M,NO,0,-,W,MF,-,-,VC,-,-,TILL,-,-,CH,B,O,CH,BC,O
SKADAR43~~A,SK,ADA,R43~~,A,ARDILL O.BC,M,NO,4,LI,W,MF,VF,-,VC,AN,-,TILL,RESD,-,CH,B,O,CH,BC,O
SKADAR49~~A,SK,ADA,R49~~,A,ARDILL O.BC,M,NO,4,LI,W,MF,VF,-,VC,AN,-,TILL,RESD,-,CH,B,O,CH,BC,O
SKADAR~~~~A,SK,ADA,R~~~~,A,ARDILL O.BC,M,NO,4,LI,W,MF,VF,-,VC,AN,-,TILL,RESD,-,CH,B,O,CH,BC,O
SKADA~~~~~A,SK,ADA,~~~~~,A,ARDILL O.BC,M,NO,0,-,W,MF,-,-,VC,-,-,TILL,-,-,CH,B,O,CH,BC,O
SKADC43~~~A,SK,ADC,43~~~,A,ARDILL CA.BC,M,NO,0,-,W,MF,-,-,VC,-,-,TILL,-,-,CH,B,CA,CH,BC,CA
SKADC49~~~A,SK,ADC,49~~~,A,ARDILL CA.BC,M,NO,0,-,W,MF,-,-,VC,-,-,TILL,-,-,CH,B,CA,CH,BC,CA
SKADC~~~~~A,SK,ADC,~~~~~,A,ARDILL CA.BC,M,NO,0,-,W,MF,-,-,VC,-,-,TILL,-,-,CH,B,CA,CH,BC,CA
SKADE43~~~A,SK,ADE,43~~~,A,ARDILL E.BC,M,NO,0,-,W,MF,-,-,VC,-,-,TILL,-,-,CH,B,E,CH,BC,E
SKADE49~~~A,SK,ADE,49~~~,A,ARDILL E.BC,M,NO,0,-,W,MF,-,-,VC,-,-,TILL,-,-,CH,B,E,CH,BC,E
SKADE~~~~~A,SK,ADE,~~~~~,A,ARDILL E.BC,M,NO,0,-,W,MF,-,-,VC,-,-,TILL,-,-,CH,B,E,CH,BC,E
SKADHS43~~A,SK,ADH,S43~~,A,ARDILL GLCA.BC,M,YU,3,SA,I,MF,-,-,SA,-,-,TILL,-,-,CH,B,-,CH,BC,GLCA
SKADHS49~~A,SK,ADH,S49~~,A,ARDILL GLCA.BC,M,YU,3,SA,I,MF,-,-,SA,-,-,TILL,-,-,CH,B,-,CH,BC,GLCA
SKADHS~~~~A,SK,ADH,S~~~~,A,ARDILL GLCA.BC,M,YU,3,SA,I,MF,-,-,SA,-,-,TILL,-,-,CH,B,-,CH,BC,GLCA
SKADI43~~~A,SK,ADI,43~~~,A,ARDILL SZ.BC,M,NO,0,-,W,MF,-,-,VC,-,-,TILL,-,-,CH,B,SZ,CH,BC,SZ
SKADI49~~~A,SK,ADI,49~~~,A,ARDILL SZ.BC,M,NO,0,-,W,MF,-,-,VC,-,-,TILL,-,-,CH,B,SZ,CH,BC,SZ
SKADIR43~~A,SK,ADI,R43~~,A,ARDILL SZ.BC,M,NO,4,LI,W,MF,VF,-,VC,AN,-,TILL,RESD,-,CH,B,SZ,CH,BC,SZ
SKADIR49~~A,SK,ADI,R49~~,A,ARDILL SZ.BC,M,NO,4,LI,W,MF,VF,-,VC,AN,-,TILL,RESD,-,CH,B,SZ,CH,BC,SZ
SKADIR~~~~A,SK,ADI,R~~~~,A,ARDILL SZ.BC,M,NO,4,LI,W,MF,VF,-,VC,AN,-,TILL,RESD,-,CH,B,SZ,CH,BC,SZ
SKADI~~~~~A,SK,ADI,~~~~~,A,ARDILL SZ.BC,M,NO,0,-,W,MF,-,-,VC,-,-,TILL,-,-,CH,B,SZ,CH,BC,SZ
SKADO43~~~A,SK,ADO,43~~~,A,ARDILL O.R,M,NO,0,-,W,MF,-,-,VC,-,-,TILL,-,-,RG,R,O,RG,R,O
SKADO49~~~A,SK,ADO,49~~~,A,ARDILL O.R,M,NO,0,-,W,MF,-,-,VC,-,-,TILL,-,-,RG,R,O,RG,R,O
SKADO~~~~~A,SK,ADO,~~~~~,A,ARDILL O.R,M,NO,0,-,W,MF,-,-,VC,-,-,TILL,-,-,RG,R,O,RG,R,O
