Soil_Z,Cluster,Mortality_pct,Year,Age,Stems,DBH_cm,Height_m,Kg_pertree,km_per_ha,Stems_tosum1ha,Biomass_Mgkm,Volume_m3km,Roots_Mgkm,Fineroots_Mgkm
BLK_,BLK_1,15,2073,58,541,35.33924103,16.43406487,560.0194702,1.497544028,748.7720139,202.3116025,240.7484049,22.96962561,10.33633152
BLK_,BLK_1,15,2074,59,541,35.57034302,16.53334999,571.7608032,1.497544028,748.7720139,206.5532577,244.7723625,22.81210979,10.26544941
BLK_,BLK_1,15,2075,60,541,35.81144714,16.63687706,584.1889648,1.497544028,748.7720139,211.0430225,249.0136349,22.79781729,10.25901778
BLK_,BLK_1,30,2016,1,446,0.460787475,0,0.000560538,740.7113318,370355.6659,3.37513E-07,7.58825E-06,6.75027E-07,3.03762E-07
BLK_,BLK_1,30,2017,2,446,0.718768656,0.422172159,0.002308068,185.1778329,92588.91647,5.55897E-06,9.40223E-05,6.2217E-06,2.79977E-06
BLK_,BLK_1,30,2018,3,446,1.041295886,0.594628632,0.007511031,82.30125908,41150.62954,4.07031E-05,0.000543004,3.61605E-05,1.62722E-05
BLK_,BLK_1,30,2019,4,446,1.493944407,0.830038548,0.02369749,46.29445823,23147.22912,0.000228301,0.002417277,0.000180025,8.10114E-05
BLK_,BLK_1,30,2020,5,446,2.099375725,1.136658907,0.069990903,29.62845327,14814.22664,0.00105358,0.008972086,0.000769265,0.000346169
BLK_,BLK_1,30,2021,6,446,2.842641354,1.504052401,0.183677107,20.57531477,10287.65739,0.00398147,0.027925409,0.002729946,0.001228475
BLK_,BLK_1,30,2022,7,446,3.730372906,1.933425069,0.436286092,15.11655779,7558.278895,0.012872216,0.075866023,0.008359364,0.003761714
BLK_,BLK_1,30,2023,8,446,4.757041931,2.420424938,0.945955873,11.57361456,5786.807279,0.036453289,0.183880698,0.022554008,0.010149303
BLK_,BLK_1,30,2024,9,446,6.175597191,3.080518961,2.1710186,9.144584343,4572.292171,0.105885,0.451932019,0.063343126,0.028504407
BLK_,BLK_1,30,2025,10,446,7.670173168,3.763570547,4.328009129,7.407113318,3703.556659,0.260599784,0.968174799,0.149432238,0.067244507
BLK_,BLK_1,30,2026,11,446,9.241977692,4.471054077,7.834314823,6.612532071,3306.266035,0.528406415,1.742279942,0.291127486,0.131007369
BLK_,BLK_1,30,2027,12,446,11.07322216,5.283908844,13.92877388,6.061487732,3030.743866,1.024869347,3.009936846,0.54678417,0.246052877
BLK_,BLK_1,30,2028,13,446,12.89194393,6.081109524,22.60199547,5.595219445,2797.609722,1.80162552,4.800342785,0.927571218,0.417407048
BLK_,BLK_1,30,2029,14,446,14.46245003,6.762604713,32.58848953,5.195560913,2597.780456,2.797477837,6.924903546,1.380275223,0.62112385
BLK_,BLK_1,30,2030,15,446,15.85767078,7.363312244,43.69032669,4.849190185,2424.595093,4.018379221,9.377603084,1.900263863,0.855118738
