
Year,ID,Province,Soil Type,Group,Crop ID,Crop,"unit (bu, t, etc)",Yield,Crop Price,Seed,Fertilizer,Chemical,Trucking and Marketing,Fuel Oil Lube,Machinery Repairs,Crop Insurance,Building Repairs,Custom Work,Labour,Utilities,Operating Interest,Fixed Cost $/Acre,Variable Cost $/acre,Total Costs $/Acre,Notes,Source
2021,1,Saskatchewan,Black,Small-grain cereals,3,Wheat,bu,68.3,6.04,33.05,74.95,108.21,0,19.25,11.49,3.87,0.88,23.05,0,4.88,5.48,119.57,284.23,403.8,Spring,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,2,Saskatchewan,Brown,Small-grain cereals,3,Wheat,bu,52.9,6.04,26.32,57.76,107.71,0,12.32,9,4.46,0.49,22.3,0,3.23,4.78,95.34,247.88,343.22,Spring,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,3,Saskatchewan,Dark Brown,Small-grain cereals,3,Wheat,bu,61.4,6.04,29.07,67.31,107.71,0,15.4,10.15,4.18,0.65,22.05,0,4.23,5.12,109.53,265.22,374.75,Spring,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,4,Saskatchewan,Brown,Small-grain cereals,4,Durum Wheat,bu,54,7.5,36.43,59.19,62.41,0,12.32,9,6.1,0.49,22.3,0,3.23,4.15,95.34,215.13,310.47,,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,5,Saskatchewan,Dark Brown,Small-grain cereals,4,Durum Wheat,bu,61.7,7.5,40.25,67.78,62.41,0,15.4,10.15,7.94,0.65,22.05,0,4.23,4.53,109.53,234.75,344.28,,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,6,Saskatchewan,Black,Small-grain cereals,5,Barley,bu,96.5,4.37,31.82,70.15,47.73,0,19.25,11.49,4.9,0.88,21.05,0,4.88,4.53,119.57,234.91,354.48,Feed,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,7,Saskatchewan,Black,Small-grain cereals,5,Barley,bu,78.3,5.2,41.95,56.8,105.73,0,19.25,11.49,3.98,0.88,21.05,0,4.88,5.21,119.57,270.35,389.92,Malt,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,8,Saskatchewan,Brown,Small-grain cereals,5,Barley,bu,78.1,4.37,25.46,56.8,47.73,0,12.32,9,5.84,0.49,20.8,0,3.23,3.56,95.34,184.74,280.08,Feed,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,9,Saskatchewan,Brown,Small-grain cereals,5,Barley,bu,63.9,5.2,33.7,46.77,105.73,0,12.32,9,4.79,0.49,20.8,0,3.23,4.65,95.34,240.98,336.32,Malt,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,10,Saskatchewan,Dark Brown,Small-grain cereals,5,Barley,bu,85.4,4.37,28.06,62.04,47.73,0,15.4,10.15,5.2,0.65,21.05,0,4.23,3.81,109.53,197.68,307.21,Feed,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
