Tree #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
1,57.4911,62.2035,60.6327,58.1195,57.4911,54.3496,65.3451,64.0885,70.6858,65.031,62.8319,50.2655,45.5531,,,,,,,,,,,,,,,,,,,,,,,,,
2,47.438,64.7168,32.3584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,31.4159,40.5265,61.5752,59.7531,41.7832,31.7301,67.8584,47.7522,63.7743,51.5221,63.7743,72.5708,58.4336,33.3009,59.0619,32.0442,42.0973,47.1239,65.3451,52.4646,,,,,,,,,,,,,,,,,,
4,54.0354,67.8584,39.8982,43.354,38.0133,38.0133,58.7478,41.1549,67.8584,54.3496,49.0088,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,54.3496,47.7522,35.5,35.1858,78.7597,93.6195,78.8226,78.4142,79.7965,63.7743,59.973,54.9779,74.4557,71,86.3938,49.6372,,,,,,,,,,,,,,,,,,,,,,
6,59.3761,58.7478,51.208,52.7788,58.1195,53.8783,60.3186,63.2717,47.7522,43.6681,60.3186,55.9203,62.2035,67.8584,,,,,,,,,,,,,,,,,,,,,,,,
7,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,18.2212,77.5973,73.8274,32.0442,64.4026,49.0088,55.9203,74.7699,45.8673,78.2257,77.2832,64.0885,54.6637,44.1394,80.7389,81.3672,63.146,69.4292,,,,,,,,,,,,,,,,,,,,
9,32.9867,26.0752,75.0841,80.4248,53.7212,37.6991,52.4646,43.6681,45.5531,25.7611,67.5442,66.9159,62.5177,75.0841,52.4646,49.323,55.292,59.0619,51.5221,,,,,,,,,,,,,,,,,,,
10,61.8894,64.4026,64.0885,97.0752,41.1549,93.9336,49.6372,93.9336,54.3496,98.646,76.0265,90.4779,68.4867,47.438,53.0929,52.1504,48.6947,77.5973,57.4911,49.9513,66.9159,66.6018,85.1372,98.0177,32.3584,32.0442,55.9203,81.6814,89.8495,62.2035,84.5088,110.2699,29.2168,,,,,
11,45.8673,33.9292,50.8938,51.8363,53.7212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,90.1637,105.2434,68.8009,49.9513,77.9115,75.0841,140.4292,87.3363,64.0885,71.3142,126.6062,110.8982,31.7301,55.292,58.4336,79.4823,135.7168,65.6593,88.9071,88.2788,102.7301,87.6504,95.1903,96.7611,85.7655,,,,,,,,,,,,,
14,55.6062,54.0354,70.0575,49.0088,115.2965,41.469,49.6372,115.6106,68.1726,128.931,109.3274,116.8672,37.0708,,,,,,,,,,,,,,,,,,,,,,,,,
15,61.2611,60.3186,31.7301,76.3407,42.7257,82.6239,47.7522,95.8186,49.6372,26.7035,57.4911,38.0133,41.1549,60.3186,32.0442,39.2699,57.177,54.9779,22.6195,22.3053,25.7611,54.3496,47.7522,54.0354,40.2124,38.6416,54.6637,39.5841,50.2969,74.7699,72.5708,,,,,,,
16,82.938,60.3186,88.9071,82.3097,73.1991,118.438,100.6252,79.1681,63.4602,42.0973,89.5354,76.3407,82.3097,84.1947,78.2257,57.8053,,,,,,,,,,,,,,,,,,,,,,
17,67.5442,49.0088,38.6416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,35.8142,32.6726,32.0442,35.5,44.9248,27.3319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,76.969,78.854,48.0664,72.2566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,55.9203,32.0442,62.2035,63.4602,89.5354,57.8053,49.323,44.9248,108.6991,95.1903,100.8451,59.3761,92.0487,88.5929,69.4292,90.1637,,,,,,,,,,,,,,,,,,,,,,
21,53.0929,75.0841,73.5133,87.9646,51.8363,67.5442,74.1416,85.7655,103.6726,70.0575,67.8584,79.1681,77.2832,64.4026,65.9734,25.7611,23.5619,71.6283,49.6372,86.708,98.0177,62.5177,86.708,98.3319,65.3451,46.8097,68.8637,57.177,81.9956,65.3451,76.3407,82.6239,98.3319,,,,,
22,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,79.1681,58.4336,54.6637,49.6372,81.0531,85.1372,81.0531,79.1681,28.5885,63.146,79.1681,72.8849,70.0575,64.7168,47.7522,48.0664,88.2788,47.7522,30.1593,25.7611,75.7124,18.2212,,,,,,,,,,,,,,,,
24,38.9557,47.438,25.7611,50.5796,106.8142,79.7965,31.1018,87.9646,64.7168,79.4823,61.8894,56.2345,38.0133,71.6283,36.1283,85.1372,31.1018,100.2168,49.323,59.3761,100.2168,41.7832,83.8805,114.6681,54.9779,52.1504,26.0752,51.8363,,,,,,,,,,
25,16.3363,55.9203,27.9602,87.0221,69.115,72.5708,80.4248,71.6283,55.9203,54.6637,88.2788,93.6195,94.2478,71.6283,68.4867,54.0354,18.2212,,,,,,,,,,,,,,,,,,,,,
26,63.146,98.0177,70.3717,65.6593,73.5133,81.9956,61.4181,86.708,104.9292,24.1903,73.1991,87.6504,42.4115,78.854,54.9779,50.8938,65.3451,98.9602,76.0265,37.0708,57.4911,,,,,,,,,,,,,,,,,
27,39.2699,66.6018,72.8849,74.4557,62.8319,38.0133,89.5354,62.8633,41.1549,54.3496,63.4602,46.4956,48.6947,38.3274,70.0575,68.1726,,,,,,,,,,,,,,,,,,,,,,
28,60.0044,36.7566,16.6504,65.031,90.4779,84.1947,47.438,59.0619,65.031,51.208,60.3186,63.4602,81.3672,58.7478,95.1903,74.4557,71.9425,67.5442,,,,,,,,,,,,,,,,,,,,
29,73.8274,86.0796,80.1106,68.4867,73.8274,55.9203,68.8009,52.1504,64.0885,83.5664,48.0664,84.823,55.292,59.3761,59.3761,57.4911,57.177,58.1195,87.9646,88.9071,64.0885,77.2832,,,,,,,,,,,,,,,,
30,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,74.1416,76.969,40.5265,62.1407,61.4496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,78.854,69.7434,59.1562,52.4018,79.1681,36.9451,41.3119,55.7947,93.5566,50.3283,45.4903,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,51.8049,35.7199,39.2699,74.4557,67.7013,89.8495,52.1504,64.4026,72.3509,89.3783,90.9805,92.677,67.8898,,,,,,,,,,,,,,,,,,,,,,,,,
34,97.5779,95.0646,101.0022,66.4761,58.1823,90.1009,88.9071,83.5664,66.8217,74.9898,66.4761,60.3186,62.4234,84.1947,113.1602,102.7301,20.4204,72.7279,65.2823,74.7071,30.0965,90.1637,89.6296,50.4226,77.2832,33.615,104.615,80.7389,27.9916,47.5009,46.4956,,,,,,,
35,91.923,38.6416,12.8805,98.2062,89.8495,97.0752,62.5177,63.146,98.646,101.0022,89.5354,86.0796,103.3584,99.2743,74.8327,61.2611,60.0044,43.6681,81.3672,76.969,77.5973,68.4867,66.1934,43.0398,89.2212,34.2434,54.9779,55.6062,53.0929,50.8938,47.5009,83.8805,,,,,,
36,44.2965,42.8199,33.3009,49.0088,35.5,27.0177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,83.8805,66.9159,67.8584,79.1681,60.9469,90.3522,35.5,34.9345,45.2389,43.0398,94.2478,86.0796,58.1195,84.9801,38.6416,84.5088,91.2004,78.5712,82.3097,63.146,109.1703,28.9027,85.4513,85.2628,69.9004,93.6195,82.938,97.6407,88.1217,,,,,,,,,
41,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,88.9071,67.2301,49.9513,31.7301,101.1593,30.1593,51.0195,47.7522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,58.7478,40.338,59.0619,40.5265,51.208,54.0354,46.1814,57.6168,60.4128,54.7894,49.1973,78.3827,44.7677,55.3549,88.2473,,,,,,,,,,,,,,,,,,,,,,,
44,80.896,98.9602,46.4327,62.6748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,87.1792,50.3283,76.3407,98.3319,72.4765,59.1248,60.8526,57.177,109.6416,60.9469,85.7655,75.8066,84.9801,66.0677,96.4469,81.6814,80.1106,78.0686,25.7611,11.6239,87.8703,84.3832,73.5761,96.7611,72.2252,72.5708,91.0119,56.1403,56.8314,59.8788,66.2562,93.6195,,,,,,
46,89.2212,79.6394,70.6858,108.0708,85.7655,71,47.438,52.3703,52.0562,67.5442,97.0752,56.2345,49.6372,,,,,,,,,,,,,,,,,,,,,,,,,
47,96.3526,75.4611,123.7788,114.6681,82.6239,64.8739,75.4611,41.1549,65.3451,81.9956,75.1155,57.0199,75.3982,77.5973,74.8642,75.3982,,,,,,,,,,,,,,,,,,,,,,
48,34.2434,91.1062,91.5774,83.2522,69.5863,54.9779,54.3496,60.6327,45.5531,81.9956,76.969,37.6991,60.6327,60.0044,79.7965,94.2478,45.2389,38.9557,69.3349,92.3628,70.6858,,,,,,,,,,,,,,,,,
