,,BC,AB,SK,MB,ON,QC
Beef cattle,Liquid systems,,,,,,
,Jan,0.10302466,0.039979165,0.007540075,0.008783668,0.036735774,0.115030024
,Feb,0.120052721,0.039979165,0.007540075,0.008783668,0.036735774,0.115030024
,Mar,0.201426339,0.040099664,0.007562801,0.008959227,0.038500636,0.120612867
,Apr,0.158089603,0.043823059,0.008265033,0.009901048,0.046737867,0.182053778
,May,0.152891475,0.042126694,0.007945099,0.010882543,0.097599782,0.651475731
,Jun,0.143710351,0.041156409,0.007762103,0.010454548,0.104473732,0.456014485
,Jul,0.133181068,0.040090291,0.007561033,0.009441986,0.104663658,0.619781984
,Aug,0.129671493,0.040401345,0.007619698,0.009426896,0.098327295,0.41049085
,Sep,0.155408934,0.041842158,0.007891435,0.011269861,0.088723965,0.513683272
,Oct,0.173088158,0.042807386,0.008073477,0.010047161,0.073872927,0.259273631
,Nov,0.105364376,0.040938104,0.007720931,0.008964591,0.040590424,0.140914899
,Dec,0.100425037,0.039909357,0.007526909,0.008821373,0.036735774,0.115030024
,Solid systems,,,,,,
,Jan,0.071088302,0.087428873,0.044983923,0.004074705,0.0239965,0
,Feb,0.098045338,0.113383564,0.058338137,0.005416445,0.029861309,0
,Mar,0.6588557,0.206080773,0.106032726,0.011847911,0.056845484,0
,Apr,0.46762629,1.172165201,0.603102703,0.04064583,0.228110019,0.264282301
,May,0.422900682,2.223211443,1.143887253,0.186030024,0.51080099,0.86449907
,Jun,0.420716757,1.465089964,0.753818419,0.123877557,0.203603428,0.177983316
,Jul,0.157099624,1.013116861,0.521269116,0.101107345,0.239504311,0.164025771
,Aug,0.253217557,1.325580203,0.682037825,0.235589482,0.358177619,0.412058166
,Sep,0.680857553,3.226877841,1.660293914,0.377216693,0.43325607,0.523332018
,Oct,0.583940623,4.884160928,2.512999581,0.434226574,0.28823157,0.354593608
,Nov,0.31961841,1.723141685,0.886591248,0.162845368,0.073733442,0
,Dec,0.071088302,0.140503621,0.072291955,0.00412644,0.0239965,0
