Table 3. SLC polygons (2011) to be modelled in the Holos V4 simulations,,,,Polygon centroid coordinates,,Final yield (SAD/Interpolated 2009-2018 avg.)
SLC polygon #,Ecodistrict #,SLC polygon area (ha),Ecodistrict area (ha),Latitude,Longitude,2009-2018  tame hay (mixed) yield (kg/ha)
244007,244,"103,901","4,151,599",58.98355,-123.3002,4196
244061,244,"346,272","4,151,599",58.690875,-116.300065,3837
244070,244,"73,011","4,151,599",57.852879,-118.364436,3837
375001,375,"72,557","552,382",50.628144,-96.609673,4070
375002,375,"175,263","552,382",50.096974,-96.26547,4070
375003,375,"22,566","552,382",50.526386,-96.26612,4070
375004,375,"9,076","552,382",50.502804,-96.492361,4070
375005,375,"12,293","552,382",50.480076,-96.202369,4070
375006,375,"41,909","552,382",50.277836,-96.393274,4070
375007,375,"22,255","552,382",50.192882,-96.231345,4070
375008,375,"4,287","552,382",50.362612,-96.208015,4070
375009,375,"6,908","552,382",50.141815,-95.969605,4070
375010,375,"10,829","552,382",50.133499,-96.319491,4070
375011,375,"122,866","552,382",49.513476,-96.206457,4070
375012,375,"6,077","552,382",49.600361,-96.328812,4070
375013,375,"22,705","552,382",49.138723,-96.326769,4070
375014,375,"22,793","552,382",49.069111,-96.193098,4070
376001,376,"56,950","252,605",50.309896,-95.632774,4362
376002,376,"33,109","252,605",50.121885,-95.650097,4316
376004,376,"7,266","252,605",49.992572,-95.833362,4070
377001,377,"314,261","2,444,842",49.813007,-95.113684,4608
378003,378,"80,255","686,416",49.853209,-93.038293,5642
379001,379,"342,193","402,702",49.440575,-95.576705,4070
379002,379,"15,491","402,702",49.605755,-95.74378,4070
379003,379,"25,443","402,702",49.346143,-96.011824,4070
380001,380,"110,644","201,506",49.079453,-95.838282,4070
380002,380,"10,080","201,506",49.203041,-95.852147,4070
380003,380,"21,330","201,506",49.200257,-96.113186,4070
380004,380,"43,331","201,506",49.225655,-95.323193,4070
380005,380,"11,733","201,506",49.058973,-95.985172,4070
380006,380,"4,387","201,506",49.05629,-95.929899,4070
381002,381,"298,665","348,396",48.785012,-94.090461,5642
383003,383,"158,075","746,198",48.186582,-89.779459,5642
383005,383,"309,428","746,198",48.395665,-89.986179,5642
401021,401,"168,218","7,416,468",49.221861,-79.670557,5529
401023,401,"247,552","7,416,468",49.05158,-79.050053,5416
401026,401,"267,612","7,416,468",49.211198,-81.162859,5642
401029,401,"27,164","7,416,468",49.097013,-79.378478,5416
401035,401,"36,734","7,416,468",49.08165,-79.210859,5416
401046,401,"23,301","7,416,468",48.724019,-77.629205,5416
401047,401,"84,218","7,416,468",48.66263,-78.032203,5416
401050,401,"5,356","7,416,468",48.932546,-79.324803,5416
401051,401,"21,623","7,416,468",48.592134,-77.556418,5416
401055,401,"9,624","7,416,468",48.893643,-79.035819,5416
401059,401,"6,645","7,416,468",48.791412,-78.482782,5416
401063,401,"8,526","7,416,468",48.766024,-78.266794,5416
401064,401,"15,168","7,416,468",48.709742,-79.135696,5416
401066,401,"131,372","7,416,468",48.782307,-81.633866,5642
401067,401,"6,985","7,416,468",48.817255,-79.428064,5416
401069,401,"5,431","7,416,468",48.653866,-78.169722,5416
401070,401,"4,537","7,416,468",48.795026,-79.259987,5416
401071,401,"14,485","7,416,468",48.666599,-78.758205,5416
401073,401,"8,204","7,416,468",48.449226,-77.290516,5416
401075,401,"31,804","7,416,468",48.346146,-78.273705,5416
401076,401,"18,307","7,416,468",48.554019,-78.382441,5416
