Table 3. SLC polygons (2011) to be modelled in the Holos V4 simulations,,,,Polygon centroid coordinates,
SLC polygon #,Ecodistrict #,SLC polygon area (ha),Ecodistrict area (ha),Latitude,Longitude
244007,244,"103,901","4,151,599",58.98355,-123.3002
244061,244,"346,272","4,151,599",58.690875,-116.300065
244070,244,"73,011","4,151,599",57.852879,-118.364436
375001,375,"72,557","552,382",50.628144,-96.609673
375002,375,"175,263","552,382",50.096974,-96.26547
375003,375,"22,566","552,382",50.526386,-96.26612
375004,375,"9,076","552,382",50.502804,-96.492361
375005,375,"12,293","552,382",50.480076,-96.202369
375006,375,"41,909","552,382",50.277836,-96.393274
375007,375,"22,255","552,382",50.192882,-96.231345
375008,375,"4,287","552,382",50.362612,-96.208015
375009,375,"6,908","552,382",50.141815,-95.969605
375010,375,"10,829","552,382",50.133499,-96.319491
375011,375,"122,866","552,382",49.513476,-96.206457
375012,375,"6,077","552,382",49.600361,-96.328812
375013,375,"22,705","552,382",49.138723,-96.326769
375014,375,"22,793","552,382",49.069111,-96.193098
376001,376,"56,950","252,605",50.309896,-95.632774
376002,376,"33,109","252,605",50.121885,-95.650097
376004,376,"7,266","252,605",49.992572,-95.833362
377001,377,"314,261","2,444,842",49.813007,-95.113684
378003,378,"80,255","686,416",49.853209,-93.038293
379001,379,"342,193","402,702",49.440575,-95.576705
379002,379,"15,491","402,702",49.605755,-95.74378
379003,379,"25,443","402,702",49.346143,-96.011824
380001,380,"110,644","201,506",49.079453,-95.838282
380002,380,"10,080","201,506",49.203041,-95.852147
380003,380,"21,330","201,506",49.200257,-96.113186
380004,380,"43,331","201,506",49.225655,-95.323193
380005,380,"11,733","201,506",49.058973,-95.985172
380006,380,"4,387","201,506",49.05629,-95.929899
381002,381,"298,665","348,396",48.785012,-94.090461
383003,383,"158,075","746,198",48.186582,-89.779459
383005,383,"309,428","746,198",48.395665,-89.986179
401021,401,"168,218","7,416,468",49.221861,-79.670557
401023,401,"247,552","7,416,468",49.05158,-79.050053
401026,401,"267,612","7,416,468",49.211198,-81.162859
